sensor,platform,total_cost,total_cost_bins,sensor_platform,,data_type
hydroacoustics,aerial_drone,2,$,hydroacoustics by aerial_drone,,Location
hydroacoustics,manned_aircraft,6,$$$,hydroacoustics by manned_aircraft,,Location
hydroacoustics,manned_vessel,6,$$$,hydroacoustics by manned_vessel,,Location
hydroacoustics,on_shore_command_center,6,$$$,hydroacoustics by on_shore_command_center,,Location
hydroacoustics,smart_buoy,2,$,hydroacoustics by smart_buoy,,Location
hydroacoustics,usv,4,$$,hydroacoustics by usv,,Location
long_range_camera,aerial_drone,2,$,long_range_camera by aerial_drone,,"Image, Video"
long_range_camera,manned_aircraft,6,$$$,long_range_camera by manned_aircraft,,"Image, Video"
long_range_camera,manned_vessel,6,$$$,long_range_camera by manned_vessel,,"Image, Video"
long_range_camera,on_shore_command_center,6,$$$,long_range_camera by on_shore_command_center,,"Image, Video"
long_range_camera,smart_buoy,2,$,long_range_camera by smart_buoy,,"Image, Video"
long_range_camera,usv,4,$$,long_range_camera by usv,,"Image, Video"
onboard_observer,aerial_drone,1,$,onboard_observer by aerial_drone,,"Image, Video, Location, Eye-witness"
onboard_observer,manned_aircraft,3,$$,onboard_observer by manned_aircraft,,"Image, Video, Location, Eye-witness"
onboard_observer,manned_vessel,3,$$,onboard_observer by manned_vessel,,"Image, Video, Location, Eye-witness"
onboard_observer,on_shore_command_center,3,$$,onboard_observer by on_shore_command_center,,"Image, Video, Location, Eye-witness"
onboard_observer,smart_buoy,1,$,onboard_observer by smart_buoy,,"Image, Video, Location, Eye-witness"
onboard_observer,usv,2,$,onboard_observer by usv,,"Image, Video, Location, Eye-witness"
radar,aerial_drone,1,$,radar by aerial_drone,,Location
radar,manned_aircraft,3,$$,radar by manned_aircraft,,Location
radar,manned_vessel,3,$$,radar by manned_vessel,,Location
radar,on_shore_command_center,3,$$,radar by on_shore_command_center,,Location
radar,smart_buoy,1,$,radar by smart_buoy,,Location
radar,usv,2,$,radar by usv,,Location
radio_frequency,aerial_drone,1,$,radio_frequency by aerial_drone,,Location
radio_frequency,manned_aircraft,3,$$,radio_frequency by manned_aircraft,,Location
radio_frequency,manned_vessel,3,$$,radio_frequency by manned_vessel,,Location
radio_frequency,on_shore_command_center,3,$$,radio_frequency by on_shore_command_center,,Location
radio_frequency,smart_buoy,1,$,radio_frequency by smart_buoy,,Location
radio_frequency,usv,2,$,radio_frequency by usv,,Location